activity_at_injury_unique,injury_mechanism_unique,object_involved_unique
*** class,"['bending', 'smashing']", duster spray
*** class at the gym,"['bike crash', 'fall']",***
*** drills,"['broke', 'fell']",*** ***
*** game,"['bump', 'twisted', 'tripped', 'fell']",*** acid sanitizer
*** practice,"['burned', 'fell']",*** and ***
1 mile run in hot sun,"['burned', 'slipped']",*** ball
1 mile walk,"['caught', 'hit', 'fell']",*** brand soap
10 mile hike,['contact injury'],*** bullet
10 mile walk,"['cut', 'burn']",*** can
10 speed race,"['cut', 'fell']",*** controller
10ft height jump,"['cut', 'slipped', 'fell']",*** creek
10k training running,"['cut', 'tripped', 'fell']",*** dispenser toy
12 mile hike,"['dropped phone', 'rolled ankle', 'ran over by car']",*** from packaging
15 mile walk,"['dropped', 'stepped', 'jumped']",*** game
17000 steps,"['fall', 'cut']",*** gun
2 mile run,"['fell', 'accident']",*** like tool
2 miles run,"['fell', 'crashed']",*** machine
20 mile bike ride,"['fell', 'cut']",*** on lap
20 mile hike,"['fell', 'fall']",*** pad
2mi hike,"['fell', 'fell']",*** piece
3 mile hike w a lot of uphill movement,"['fell', 'hit self']",*** pod
3 mile run,"['fell', 'hit']",*** pods
"3 mile run, exercise class","['fell', 'ingesting']",*** scented baby soap
3 mile uphill run,"['fell', 'jumped']",*** spray
3 mile walk,"['fell', 'mechanical fall']",*** tablets
30 min walk,"['fell', 'ran over']",*** with fluid inside it
3mi run,"['fell', 'ripped']",*** without a sole
3mi walk,"['fell', 'tackled']",***s
4 mile walk,"['fell', 'tbone mvc']",0.5inch metallic star decoration
4 wheeler accident,['fell'],01mg of clonidine
4 wheeler accident passenger,"['ground level fall', 'slip and fall']",02
4 wheeler crash,"['hit', 'burned']",03mg clonidine tablet
4 wheeling,"['hit', 'cut']",05mg ***
40 mile bike ride,"['hit', 'fall']",05mg alprazolam pill
40min bike ride,"['hit', 'fell', 'hit']",1 foot bed
440 yard run,"['hit', 'fell']",1 foot step
45 feet up on a ladder,"['hit', 'slipped']",1 foot stool
45 steps up ladder,"['hit', 'tripped']",1 gal bottle of juice
4mi walk,"['hitting', 'cut']",1 mg sublingual medication
4wd atv crash,"['hyperextended', 'tripped and fell']",1 step
4wheeler,"['kicking', 'dropped']",1 step ledge
4wheeler accident,"['lac', 'burn']",1 step step stool
4wheeler crash,"['lifting weights', 'fell']",1 wheel skateboard
4wheeler rollover crash,"['missed step', 'punched wall', 'cleaning ears']",1 wheeled scooter
4wheeler vs tree,"['missing a step', 'lit a firecracker']",1 x 2
4wheeler wreck,"['playing volleyball', 'fell']",10 can of fruit cocktail
5 k race,"['punctured', 'tripped']",10 foot drop
5 mile hike,"['rash', 'bug bites', 'friction burn', 'earring stuck']",10 foot high ladder
50lb deadlifts,"['rolled over', 'slipped and fell']",10 foot hill
5k run,"['rolled', 'fell']",10 foot ladder
5mi hike,"['slammed', 'burned']","10 foot ladder, trash can"
6 ft up on a ladder,"['slipped', 'fell', 'fell']","10 ft ceiling, rotten floor"
6 mile run,"['slipped', 'fell']",10 ft deck
7mi run,"['slipped', 'tripped']",10 ft ladder
8 mile run,"['stabbed', 'pop']",10 ft metal ladder
8ft up on ladder,"['stepped in a hole', 'stepped backwards off a ladder']","10 ft wall, concrete"
90 minute bike ride,"['struck', 'fell', 'hitting']",10 gallon fish tank
"[""falling off child's skateboard"", 'colliding with furniture', 'slipping and falling in shower']","['struck', 'fell', 'seizure']",10 lb bell
"['argument with gf', 'punched wall']","['struck', 'slipped']",10 lb box
"['assisting cat', 'walking down stairs']","['tripped', 'hit']",10 lb dumbbells
['braced self with left arm'],"['tripped', 'slipped']",10 lb metal support bar
"['cheerleading', 'playing basketball']","['twisted', 'fell']",10 lb speaker
"['cleaning ears', 'punching wall', 'missed a step']",abdnormal movement,10 lb weight
